,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est achetée <eos>,9,achetée,acheté,7,F,P,achetée,-7.683898,acheté,-10.55061,1
1,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est brisée <eos>,9,brisée,brisé,7,F,P,brisée,-6.937997,brisé,-11.680979,1
2,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est cachée <eos>,9,cachée,caché,7,F,P,cachée,-6.6386185,caché,-9.231408,1
3,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est cassée <eos>,9,cassée,cassé,7,F,P,cassée,-8.934124,cassé,-12.522097,1
4,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est couverte <eos>,9,couverte,couvert,7,F,P,couverte,-6.8094273,couvert,-11.196902,1
5,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est déformée <eos>,9,déformée,déformé,7,F,P,déformée,-9.423705,déformé,-12.001272,1
6,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est fixée <eos>,9,fixée,fixé,7,F,P,fixée,-5.1817727,fixé,-8.189281,1
7,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est jetée <eos>,9,jetée,jeté,7,F,P,jetée,-7.8060617,jeté,-10.361807,1
8,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est laissée <eos>,9,laissée,laissé,7,F,P,laissée,-7.9584923,laissé,-10.457605,1
9,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est ouverte <eos>,9,ouverte,ouvert,7,F,P,ouverte,-7.3523426,ouvert,-10.430822,1
10,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est perdue <eos>,9,perdue,perdu,7,F,P,perdue,-6.5864573,perdu,-9.437843,1
11,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est réparée <eos>,9,réparée,réparé,7,F,P,réparée,-11.585204,réparé,-13.823415,1
12,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est retirée <eos>,9,retirée,retiré,7,F,P,retirée,-8.055547,retiré,-9.575521,1
13,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est tombée <eos>,9,tombée,tombé,7,F,P,tombée,-7.5718813,tombé,-9.165146,1
14,S_NOUN_4_PASS_c,F,S,la gemme avec les gemmes qui était ici est utilisée <eos>,9,utilisée,utilisé,7,F,P,utilisée,-3.8754938,utilisé,-6.930254,1
15,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est achetée <eos>,9,achetée,acheté,7,F,P,achetée,-8.075879,acheté,-10.860161,1
16,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est brisée <eos>,9,brisée,brisé,7,F,P,brisée,-6.7425356,brisé,-11.192456,1
17,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est cachée <eos>,9,cachée,caché,7,F,P,cachée,-6.17093,caché,-9.475089,1
18,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est cassée <eos>,9,cassée,cassé,7,F,P,cassée,-8.056393,cassé,-12.09314,1
19,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est couverte <eos>,9,couverte,couvert,7,F,P,couverte,-5.770893,couvert,-9.372898,1
20,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est déformée <eos>,9,déformée,déformé,7,F,P,déformée,-9.865997,déformé,-12.721804,1
21,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est fixée <eos>,9,fixée,fixé,7,F,P,fixée,-4.9727855,fixé,-7.7476993,1
22,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est jetée <eos>,9,jetée,jeté,7,F,P,jetée,-6.749393,jeté,-9.361525,1
23,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est laissée <eos>,9,laissée,laissé,7,F,P,laissée,-7.54595,laissé,-10.112996,1
24,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est ouverte <eos>,9,ouverte,ouvert,7,F,P,ouverte,-6.400483,ouvert,-9.581488,1
25,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est perdue <eos>,9,perdue,perdu,7,F,P,perdue,-8.233227,perdu,-9.9944105,1
26,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est réparée <eos>,9,réparée,réparé,7,F,P,réparée,-10.249818,réparé,-13.278117,1
27,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est retirée <eos>,9,retirée,retiré,7,F,P,retirée,-7.519714,retiré,-10.551027,1
28,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est tombée <eos>,9,tombée,tombé,7,F,P,tombée,-7.1232367,tombé,-9.065613,1
29,S_NOUN_4_PASS_c,F,S,la gemme avec les chaises qui était ici est utilisée <eos>,9,utilisée,utilisé,7,F,P,utilisée,-4.165124,utilisé,-7.490328,1
30,S_NOUN_4_PASS_c,F,S,la gemme avec les poubelles qui était ici est achetée <eos>,9,achetée,acheté,7,F,P,achetée,-8.229104,acheté,-10.828756,1
31,S_NOUN_4_PASS_c,F,S,la gemme avec les poubelles qui était ici est brisée <eos>,9,brisée,brisé,7,F,P,brisée,-7.06073,brisé,-11.1733465,1
32,S_NOUN_4_PASS_c,F,S,la gemme avec les poubelles qui était ici est cachée <eos>,9,cachée,caché,7,F,P,cachée,-5.470579,caché,-8.744352,1
33,S_NOUN_4_PASS_c,F,S,la gemme avec les poubelles qui était ici est cassée <eos>,9,cassée,cassé,7,F,P,cassée,-7.496093,cassé,-11.340791,1
34,S_NOUN_4_PASS_c,F,S,la gemme avec les poubelles qui était ici est couverte <eos>,9,couverte,couvert,7,F,P,couverte,-6.125292,couvert,-8.925338,1
