,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas verte . <eos>,5,verte,vert,3,verte,-8.10367,vert,-8.297266,1
1,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas bleue . <eos>,5,bleue,bleu,3,bleue,-8.583782,bleu,-7.668614,0
2,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas noire . <eos>,5,noire,noir,3,noire,-6.4330754,noir,-8.856878,1
3,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas délicate . <eos>,5,délicate,délicat,3,délicate,-12.702608,délicat,-15.90913,1
4,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas pointue . <eos>,5,pointue,pointu,3,pointue,-11.256153,pointu,-14.604504,1
5,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas ronde . <eos>,5,ronde,rond,3,ronde,-8.835421,rond,-10.903564,1
6,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas froide . <eos>,5,froide,froid,3,froide,-10.499543,froid,-11.412202,1
7,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas chaude . <eos>,5,chaude,chaud,3,chaude,-8.590857,chaud,-12.237265,1
8,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas importante . <eos>,5,importante,important,3,importante,-7.0730314,important,-11.244168,1
9,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas courte . <eos>,5,courte,court,3,courte,-9.963124,court,-13.78766,1
10,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas dure . <eos>,5,dure,dur,3,dure,-11.158668,dur,-12.343735,1
11,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas claire . <eos>,5,claire,clair,3,claire,-5.588393,clair,-10.113289,1
12,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas intéressante . <eos>,5,intéressante,intéressant,3,intéressante,-10.787117,intéressant,-12.898092,1
13,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas brillante . <eos>,5,brillante,brillant,3,brillante,-7.3065367,brillant,-11.802928,1
14,S_NOUN_3_ADJ_a,F,S,la gemme n' est pas compliquée . <eos>,5,compliquée,compliqué,3,compliquée,-11.574343,compliqué,-14.466139,1
15,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas verte . <eos>,5,verte,vert,3,verte,-9.105119,vert,-9.388368,1
16,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas bleue . <eos>,5,bleue,bleu,3,bleue,-9.464628,bleu,-9.42203,0
17,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas noire . <eos>,5,noire,noir,3,noire,-9.305063,noir,-11.634985,1
18,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas délicate . <eos>,5,délicate,délicat,3,délicate,-11.15457,délicat,-14.23181,1
19,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas pointue . <eos>,5,pointue,pointu,3,pointue,-9.952821,pointu,-12.45041,1
20,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas ronde . <eos>,5,ronde,rond,3,ronde,-8.031786,rond,-9.806927,1
21,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas froide . <eos>,5,froide,froid,3,froide,-11.842539,froid,-13.411375,1
22,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas chaude . <eos>,5,chaude,chaud,3,chaude,-9.726269,chaud,-14.222524,1
23,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas importante . <eos>,5,importante,important,3,importante,-8.166532,important,-12.039127,1
24,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas courte . <eos>,5,courte,court,3,courte,-7.8910065,court,-11.390032,1
25,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas dure . <eos>,5,dure,dur,3,dure,-11.515655,dur,-13.372581,1
26,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas claire . <eos>,5,claire,clair,3,claire,-8.063068,clair,-10.8130455,1
27,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas intéressante . <eos>,5,intéressante,intéressant,3,intéressante,-9.837338,intéressant,-12.76203,1
28,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas brillante . <eos>,5,brillante,brillant,3,brillante,-8.728703,brillant,-12.699339,1
29,S_NOUN_3_ADJ_a,F,S,la chaise n' est pas compliquée . <eos>,5,compliquée,compliqué,3,compliquée,-10.775694,compliqué,-13.088673,1
30,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas verte . <eos>,5,verte,vert,3,verte,-8.84531,vert,-8.39105,0
31,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas bleue . <eos>,5,bleue,bleu,3,bleue,-9.930536,bleu,-8.170923,0
32,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas noire . <eos>,5,noire,noir,3,noire,-8.534039,noir,-9.72332,1
33,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas délicate . <eos>,5,délicate,délicat,3,délicate,-12.8638,délicat,-15.597406,1
34,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas pointue . <eos>,5,pointue,pointu,3,pointue,-11.895445,pointu,-13.710673,1
35,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas ronde . <eos>,5,ronde,rond,3,ronde,-8.601048,rond,-10.090192,1
36,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas froide . <eos>,5,froide,froid,3,froide,-11.142075,froid,-11.080296,0
37,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas chaude . <eos>,5,chaude,chaud,3,chaude,-9.156584,chaud,-12.531704,1
38,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas importante . <eos>,5,importante,important,3,importante,-7.9149857,important,-12.287117,1
39,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas courte . <eos>,5,courte,court,3,courte,-9.161303,court,-12.046799,1
40,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas dure . <eos>,5,dure,dur,3,dure,-11.950091,dur,-12.398057,1
41,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas claire . <eos>,5,claire,clair,3,claire,-7.5806994,clair,-10.960348,1
42,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas intéressante . <eos>,5,intéressante,intéressant,3,intéressante,-10.331869,intéressant,-12.845026,1
43,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas brillante . <eos>,5,brillante,brillant,3,brillante,-9.56421,brillant,-13.770298,1
44,S_NOUN_3_ADJ_a,F,S,la poubelle n' est pas compliquée . <eos>,5,compliquée,compliqué,3,compliquée,-9.797169,compliqué,-12.819465,1
45,S_NOUN_3_ADJ_a,F,S,la chemise n' est pas verte . <eos>,5,verte,vert,3,verte,-6.0319858,vert,-6.677694,1
46,S_NOUN_3_ADJ_a,F,S,la chemise n' est pas bleue . <eos>,5,bleue,bleu,3,bleue,-6.33906,bleu,-6.022681,0
47,S_NOUN_3_ADJ_a,F,S,la chemise n' est pas noire . <eos>,5,noire,noir,3,noire,-5.261937,noir,-7.176853,1
48,S_NOUN_3_ADJ_a,F,S,la chemise n' est pas délicate . <eos>,5,délicate,délicat,3,délicate,-10.312434,délicat,-13.9425335,1
