,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont achetées <eos>,9,achetées,achetés,7,M,S,achetées,-8.288631,achetés,-8.6678915,1
1,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont brisées <eos>,9,brisées,brisés,7,M,S,brisées,-7.8829374,brisés,-12.577217,1
2,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont cachées <eos>,9,cachées,cachés,7,M,S,cachées,-5.5936832,cachés,-8.672378,1
3,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont cassées <eos>,9,cassées,cassés,7,M,S,cassées,-8.765091,cassés,-11.551213,1
4,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,S,couvertes,-8.429842,couverts,-10.693042,1
5,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont déformées <eos>,9,déformées,déformés,7,M,S,déformées,-7.878043,déformés,-11.804166,1
6,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont fixées <eos>,9,fixées,fixés,7,M,S,fixées,-7.7491446,fixés,-10.87478,1
7,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont jetées <eos>,9,jetées,jetés,7,M,S,jetées,-7.798855,jetés,-11.045969,1
8,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont laissées <eos>,9,laissées,laissés,7,M,S,laissées,-8.299152,laissés,-10.93716,1
9,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,S,ouvertes,-8.139799,ouverts,-12.928118,1
10,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont perdues <eos>,9,perdues,perdus,7,M,S,perdues,-7.1973248,perdus,-9.944523,1
11,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont réparées <eos>,9,réparées,réparés,7,M,S,réparées,-9.646263,réparés,-13.77693,1
12,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont retirées <eos>,9,retirées,retirés,7,M,S,retirées,-7.562828,retirés,-8.883274,1
13,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont tombées <eos>,9,tombées,tombés,7,M,S,tombées,-8.312382,tombés,-9.441183,1
14,P_NOUN_4_PASS_d,F,P,les gemmes avec le bracelet près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,S,utilisées,-5.179765,utilisés,-7.959745,1
15,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont achetées <eos>,9,achetées,achetés,7,M,S,achetées,-7.9562225,achetés,-9.986011,1
16,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont brisées <eos>,9,brisées,brisés,7,M,S,brisées,-8.221262,brisés,-12.629295,1
17,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont cachées <eos>,9,cachées,cachés,7,M,S,cachées,-5.7361507,cachés,-9.177347,1
18,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont cassées <eos>,9,cassées,cassés,7,M,S,cassées,-9.061802,cassés,-11.807501,1
19,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,S,couvertes,-8.223709,couverts,-10.575949,1
20,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont déformées <eos>,9,déformées,déformés,7,M,S,déformées,-7.720961,déformés,-11.351301,1
21,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont fixées <eos>,9,fixées,fixés,7,M,S,fixées,-7.704071,fixés,-11.125107,1
22,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont jetées <eos>,9,jetées,jetés,7,M,S,jetées,-8.140699,jetés,-11.348331,1
23,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont laissées <eos>,9,laissées,laissés,7,M,S,laissées,-8.841246,laissés,-11.3999405,1
24,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,S,ouvertes,-7.9028997,ouverts,-12.35987,1
25,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont perdues <eos>,9,perdues,perdus,7,M,S,perdues,-7.3968315,perdus,-10.334757,1
26,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont réparées <eos>,9,réparées,réparés,7,M,S,réparées,-9.948492,réparés,-14.359595,1
27,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont retirées <eos>,9,retirées,retirés,7,M,S,retirées,-7.9228773,retirés,-9.695742,1
28,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont tombées <eos>,9,tombées,tombés,7,M,S,tombées,-8.150083,tombés,-9.915565,1
29,P_NOUN_4_PASS_d,F,P,les gemmes avec le miroir près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,S,utilisées,-5.223304,utilisés,-8.373438,1
30,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont achetées <eos>,9,achetées,achetés,7,M,S,achetées,-7.3434496,achetés,-9.996331,1
31,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont brisées <eos>,9,brisées,brisés,7,M,S,brisées,-8.4081955,brisés,-12.737043,1
32,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont cachées <eos>,9,cachées,cachés,7,M,S,cachées,-6.147703,cachés,-9.60834,1
33,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont cassées <eos>,9,cassées,cassés,7,M,S,cassées,-9.144952,cassés,-11.750526,1
34,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,S,couvertes,-8.029657,couverts,-10.821465,1
35,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont déformées <eos>,9,déformées,déformés,7,M,S,déformées,-7.4726353,déformés,-11.58217,1
36,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont fixées <eos>,9,fixées,fixés,7,M,S,fixées,-7.750799,fixés,-11.181087,1
37,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont jetées <eos>,9,jetées,jetés,7,M,S,jetées,-8.434677,jetés,-11.734922,1
38,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont laissées <eos>,9,laissées,laissés,7,M,S,laissées,-8.548424,laissés,-11.153331,1
39,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,S,ouvertes,-8.240176,ouverts,-12.381926,1
40,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont perdues <eos>,9,perdues,perdus,7,M,S,perdues,-7.431699,perdus,-10.511723,1
41,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont réparées <eos>,9,réparées,réparés,7,M,S,réparées,-10.062883,réparés,-14.545061,1
42,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont retirées <eos>,9,retirées,retirés,7,M,S,retirées,-8.187817,retirés,-9.744341,1
43,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont tombées <eos>,9,tombées,tombés,7,M,S,tombées,-8.467435,tombés,-10.5494175,1
44,P_NOUN_4_PASS_d,F,P,les gemmes avec le crayon près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,S,utilisées,-4.629938,utilisés,-7.9777136,1
45,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont achetées <eos>,9,achetées,achetés,7,M,S,achetées,-7.797278,achetés,-9.776519,1
46,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont brisées <eos>,9,brisées,brisés,7,M,S,brisées,-7.8887,brisés,-12.531126,1
47,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont cachées <eos>,9,cachées,cachés,7,M,S,cachées,-5.72108,cachés,-9.041596,1
48,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont cassées <eos>,9,cassées,cassés,7,M,S,cassées,-9.0390835,cassés,-11.715757,1
49,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,S,couvertes,-8.0724945,couverts,-10.579214,1
50,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont déformées <eos>,9,déformées,déformés,7,M,S,déformées,-7.5553665,déformés,-11.430994,1
51,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont fixées <eos>,9,fixées,fixés,7,M,S,fixées,-7.5484858,fixés,-10.9556875,1
52,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont jetées <eos>,9,jetées,jetés,7,M,S,jetées,-7.538826,jetés,-11.275722,1
53,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont laissées <eos>,9,laissées,laissés,7,M,S,laissées,-8.205476,laissés,-10.943888,1
54,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,S,ouvertes,-8.055901,ouverts,-12.505336,1
55,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont perdues <eos>,9,perdues,perdus,7,M,S,perdues,-7.059824,perdus,-10.352498,1
56,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont réparées <eos>,9,réparées,réparés,7,M,S,réparées,-9.891621,réparés,-14.351292,1
57,P_NOUN_4_PASS_d,F,P,les gemmes avec le rideau près de moi sont retirées <eos>,9,retirées,retirés,7,M,S,retirées,-7.674491,retirés,-9.062212,1
