,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très verte <eos>,7,verte,vert,5,F,P,verte,-6.482485,vert,-9.140989,1
1,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très bleue <eos>,7,bleue,bleu,5,F,P,bleue,-7.6541452,bleu,-9.011814,1
2,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très noire <eos>,7,noire,noir,5,F,P,noire,-6.426716,noir,-8.328852,1
3,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très délicate <eos>,7,délicate,délicat,5,F,P,délicate,-5.68425,délicat,-10.097975,1
4,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très pointue <eos>,7,pointue,pointu,5,F,P,pointue,-7.957143,pointu,-10.170931,1
5,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très ronde <eos>,7,ronde,rond,5,F,P,ronde,-9.084482,rond,-11.689801,1
6,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très froide <eos>,7,froide,froid,5,F,P,froide,-7.37751,froid,-12.631597,1
7,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très chaude <eos>,7,chaude,chaud,5,F,P,chaude,-6.8429832,chaud,-10.697621,1
8,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très importante <eos>,7,importante,important,5,F,P,importante,-3.8017375,important,-6.80962,1
9,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très courte <eos>,7,courte,court,5,F,P,courte,-4.4516706,court,-7.7930603,1
10,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très dure <eos>,7,dure,dur,5,F,P,dure,-6.5946627,dur,-7.4877977,1
11,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très claire <eos>,7,claire,clair,5,F,P,claire,-5.274695,clair,-8.772995,1
12,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très intéressante <eos>,7,intéressante,intéressant,5,F,P,intéressante,-6.0911136,intéressant,-9.433737,1
13,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très brillante <eos>,7,brillante,brillant,5,F,P,brillante,-6.5100355,brillant,-8.512683,1
14,S_NOUN_2_ADJ_a,F,S,la gemme avec les gemmes est très compliquée <eos>,7,compliquée,compliqué,5,F,P,compliquée,-6.6842585,compliqué,-8.360203,1
15,S_NOUN_2_ADJ_a,F,S,la gemme avec les chaises est très verte <eos>,7,verte,vert,5,F,P,verte,-7.0599365,vert,-9.749009,1
16,S_NOUN_2_ADJ_a,F,S,la gemme avec les chaises est très bleue <eos>,7,bleue,bleu,5,F,P,bleue,-8.256993,bleu,-10.284486,1
17,S_NOUN_2_ADJ_a,F,S,la gemme avec les chaises est très noire <eos>,7,noire,noir,5,F,P,noire,-7.3217564,noir,-9.266871,1
18,S_NOUN_2_ADJ_a,F,S,la gemme avec les chaises est très délicate <eos>,7,délicate,délicat,5,F,P,délicate,-5.177933,délicat,-9.065672,1
19,S_NOUN_2_ADJ_a,F,S,la gemme avec les chaises est très pointue <eos>,7,pointue,pointu,5,F,P,pointue,-7.5095997,pointu,-9.751612,1
20,S_NOUN_2_ADJ_a,F,S,la gemme avec les chaises est très ronde <eos>,7,ronde,rond,5,F,P,ronde,-9.008363,rond,-11.754508,1
21,S_NOUN_2_ADJ_a,F,S,la gemme avec les chaises est très froide <eos>,7,froide,froid,5,F,P,froide,-7.302333,froid,-12.204077,1
