,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement achetée <eos>,10,achetée,acheté,8,F,achetée,-9.606323,acheté,-11.294377,1
1,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement brisée <eos>,10,brisée,brisé,8,F,brisée,-5.3160663,brisé,-11.188292,1
2,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement cachée <eos>,10,cachée,caché,8,F,cachée,-6.339007,caché,-9.231483,1
3,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement cassée <eos>,10,cassée,cassé,8,F,cassée,-8.014672,cassé,-11.108696,1
4,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement couverte <eos>,10,couverte,couvert,8,F,couverte,-5.7347336,couvert,-9.925537,1
5,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement déformée <eos>,10,déformée,déformé,8,F,déformée,-8.372511,déformé,-11.364895,1
6,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement fixée <eos>,10,fixée,fixé,8,F,fixée,-6.604909,fixé,-8.850899,1
7,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement jetée <eos>,10,jetée,jeté,8,F,jetée,-8.898248,jeté,-11.204012,1
8,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement laissée <eos>,10,laissée,laissé,8,F,laissée,-7.8664694,laissé,-10.267386,1
9,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement ouverte <eos>,10,ouverte,ouvert,8,F,ouverte,-7.056252,ouvert,-11.08996,1
10,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement perdue <eos>,10,perdue,perdu,8,F,perdue,-4.8603077,perdu,-10.187659,1
11,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement réparée <eos>,10,réparée,réparé,8,F,réparée,-9.906365,réparé,-12.918832,1
12,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement retirée <eos>,10,retirée,retiré,8,F,retirée,-8.724621,retiré,-10.237427,1
13,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement tombée <eos>,10,tombée,tombé,8,F,tombée,-8.133852,tombé,-10.000354,1
14,S_NOUN_5_PASS_b,F,S,la gemme avec la chaise qui était ici est probablement utilisée <eos>,10,utilisée,utilisé,8,F,utilisée,-3.861018,utilisé,-6.999151,1
15,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement achetée <eos>,10,achetée,acheté,8,F,achetée,-9.300985,acheté,-11.244445,1
16,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement brisée <eos>,10,brisée,brisé,8,F,brisée,-6.5618057,brisé,-12.090409,1
17,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement cachée <eos>,10,cachée,caché,8,F,cachée,-6.4351077,caché,-8.78968,1
18,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement cassée <eos>,10,cassée,cassé,8,F,cassée,-8.373805,cassé,-11.574212,1
19,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement couverte <eos>,10,couverte,couvert,8,F,couverte,-6.4225044,couvert,-10.166905,1
20,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement déformée <eos>,10,déformée,déformé,8,F,déformée,-8.932946,déformé,-11.767907,1
21,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement fixée <eos>,10,fixée,fixé,8,F,fixée,-7.147996,fixé,-9.216447,1
22,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement jetée <eos>,10,jetée,jeté,8,F,jetée,-8.569474,jeté,-11.040724,1
23,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement laissée <eos>,10,laissée,laissé,8,F,laissée,-7.713008,laissé,-10.145366,1
24,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement ouverte <eos>,10,ouverte,ouvert,8,F,ouverte,-7.385578,ouvert,-10.940283,1
25,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement perdue <eos>,10,perdue,perdu,8,F,perdue,-4.9594984,perdu,-9.803245,1
26,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement réparée <eos>,10,réparée,réparé,8,F,réparée,-10.29255,réparé,-13.029242,1
27,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement retirée <eos>,10,retirée,retiré,8,F,retirée,-8.371875,retiré,-10.102811,1
28,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement tombée <eos>,10,tombée,tombé,8,F,tombée,-7.687219,tombé,-9.363747,1
29,S_NOUN_5_PASS_b,F,S,la gemme avec la poubelle qui était ici est probablement utilisée <eos>,10,utilisée,utilisé,8,F,utilisée,-3.5368414,utilisé,-6.55729,1
30,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement achetée <eos>,10,achetée,acheté,8,F,achetée,-9.673795,acheté,-11.524392,1
31,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement brisée <eos>,10,brisée,brisé,8,F,brisée,-5.471456,brisé,-11.871922,1
32,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement cachée <eos>,10,cachée,caché,8,F,cachée,-6.443656,caché,-9.237169,1
33,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement cassée <eos>,10,cassée,cassé,8,F,cassée,-7.6148453,cassé,-11.02623,1
34,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement couverte <eos>,10,couverte,couvert,8,F,couverte,-6.0927696,couvert,-10.212345,1
35,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement déformée <eos>,10,déformée,déformé,8,F,déformée,-8.435712,déformé,-11.468936,1
36,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement fixée <eos>,10,fixée,fixé,8,F,fixée,-6.642682,fixé,-9.013455,1
37,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement jetée <eos>,10,jetée,jeté,8,F,jetée,-8.745654,jeté,-11.299016,1
38,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement laissée <eos>,10,laissée,laissé,8,F,laissée,-8.0515995,laissé,-10.453167,1
39,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement ouverte <eos>,10,ouverte,ouvert,8,F,ouverte,-7.182682,ouvert,-11.330159,1
40,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement perdue <eos>,10,perdue,perdu,8,F,perdue,-5.2080235,perdu,-10.1580105,1
41,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement réparée <eos>,10,réparée,réparé,8,F,réparée,-10.368818,réparé,-13.594824,1
42,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement retirée <eos>,10,retirée,retiré,8,F,retirée,-8.5553,retiré,-10.049656,1
43,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement tombée <eos>,10,tombée,tombé,8,F,tombée,-8.229001,tombé,-9.843033,1
44,S_NOUN_5_PASS_b,F,S,la gemme avec la chemise qui était ici est probablement utilisée <eos>,10,utilisée,utilisé,8,F,utilisée,-3.4461682,utilisé,-6.7438707,1
45,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement achetée <eos>,10,achetée,acheté,8,F,achetée,-9.714819,acheté,-11.053698,1
46,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement brisée <eos>,10,brisée,brisé,8,F,brisée,-7.6636705,brisé,-13.117762,1
47,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement cachée <eos>,10,cachée,caché,8,F,cachée,-8.26853,caché,-10.215336,1
48,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement cassée <eos>,10,cassée,cassé,8,F,cassée,-9.947432,cassé,-11.937884,1
49,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement couverte <eos>,10,couverte,couvert,8,F,couverte,-6.918433,couvert,-10.844221,1
50,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement déformée <eos>,10,déformée,déformé,8,F,déformée,-10.058117,déformé,-12.722112,1
51,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement fixée <eos>,10,fixée,fixé,8,F,fixée,-7.1334925,fixé,-9.504196,1
52,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement jetée <eos>,10,jetée,jeté,8,F,jetée,-9.4790125,jeté,-12.380066,1
53,S_NOUN_5_PASS_b,F,S,la gemme avec la recette qui était ici est probablement laissée <eos>,10,laissée,laissé,8,F,laissée,-8.248659,laissé,-10.661142,1
