,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas achetée <eos>,16,achetée,acheté,14,F,P,achetée,-10.620476,acheté,-11.120489,1
1,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas brisée <eos>,16,brisée,brisé,14,F,P,brisée,-7.5541086,brisé,-11.883854,1
2,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas cachée <eos>,16,cachée,caché,14,F,P,cachée,-7.902392,caché,-10.147394,1
3,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas cassée <eos>,16,cassée,cassé,14,F,P,cassée,-9.128063,cassé,-11.67942,1
4,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas couverte <eos>,16,couverte,couvert,14,F,P,couverte,-7.4530354,couvert,-10.6494665,1
5,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas déformée <eos>,16,déformée,déformé,14,F,P,déformée,-9.976297,déformé,-10.896877,1
6,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas fixée <eos>,16,fixée,fixé,14,F,P,fixée,-8.417149,fixé,-10.508016,1
7,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas jetée <eos>,16,jetée,jeté,14,F,P,jetée,-8.724831,jeté,-12.480818,1
8,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas laissée <eos>,16,laissée,laissé,14,F,P,laissée,-8.843593,laissé,-10.888717,1
9,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas ouverte <eos>,16,ouverte,ouvert,14,F,P,ouverte,-8.160554,ouvert,-10.789418,1
10,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas perdue <eos>,16,perdue,perdu,14,F,P,perdue,-6.6000996,perdu,-9.193066,1
11,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas réparée <eos>,16,réparée,réparé,14,F,P,réparée,-11.523014,réparé,-13.67515,1
12,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas retirée <eos>,16,retirée,retiré,14,F,P,retirée,-10.715156,retiré,-12.516732,1
13,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas tombée <eos>,16,tombée,tombé,14,F,P,tombée,-8.16776,tombé,-10.162849,1
14,S_NOUN_11_PASS_a,F,S,la gemme avec les gemmes près de moi que j' aime beaucoup n' est probablement pas utilisée <eos>,16,utilisée,utilisé,14,F,P,utilisée,-5.862666,utilisé,-8.002726,1
15,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas achetée <eos>,16,achetée,acheté,14,F,P,achetée,-10.143417,acheté,-12.715364,1
16,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas brisée <eos>,16,brisée,brisé,14,F,P,brisée,-8.326208,brisé,-12.311289,1
17,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas cachée <eos>,16,cachée,caché,14,F,P,cachée,-8.813269,caché,-10.573713,1
18,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas cassée <eos>,16,cassée,cassé,14,F,P,cassée,-9.381621,cassé,-11.752619,1
19,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas couverte <eos>,16,couverte,couvert,14,F,P,couverte,-7.158769,couvert,-9.926711,1
20,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas déformée <eos>,16,déformée,déformé,14,F,P,déformée,-10.620605,déformé,-11.838732,1
21,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas fixée <eos>,16,fixée,fixé,14,F,P,fixée,-8.186406,fixé,-10.516225,1
22,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas jetée <eos>,16,jetée,jeté,14,F,P,jetée,-8.996563,jeté,-12.577646,1
23,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas laissée <eos>,16,laissée,laissé,14,F,P,laissée,-8.722835,laissé,-10.763725,1
24,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas ouverte <eos>,16,ouverte,ouvert,14,F,P,ouverte,-8.211464,ouvert,-10.759523,1
25,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas perdue <eos>,16,perdue,perdu,14,F,P,perdue,-6.6124115,perdu,-9.282029,1
26,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas réparée <eos>,16,réparée,réparé,14,F,P,réparée,-11.174991,réparé,-13.222392,1
27,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas retirée <eos>,16,retirée,retiré,14,F,P,retirée,-10.675294,retiré,-13.014157,1
28,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas tombée <eos>,16,tombée,tombé,14,F,P,tombée,-7.1125584,tombé,-9.1133175,1
29,S_NOUN_11_PASS_a,F,S,la gemme avec les chaises près de moi que j' aime beaucoup n' est probablement pas utilisée <eos>,16,utilisée,utilisé,14,F,P,utilisée,-6.4102035,utilisé,-8.3778,1
30,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas achetée <eos>,16,achetée,acheté,14,F,P,achetée,-10.197792,acheté,-12.499787,1
31,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas brisée <eos>,16,brisée,brisé,14,F,P,brisée,-8.477083,brisé,-12.075896,1
32,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas cachée <eos>,16,cachée,caché,14,F,P,cachée,-8.113688,caché,-10.270344,1
33,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas cassée <eos>,16,cassée,cassé,14,F,P,cassée,-9.1799965,cassé,-12.358444,1
34,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas couverte <eos>,16,couverte,couvert,14,F,P,couverte,-7.1035814,couvert,-9.948353,1
35,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas déformée <eos>,16,déformée,déformé,14,F,P,déformée,-10.535487,déformé,-11.712192,1
36,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas fixée <eos>,16,fixée,fixé,14,F,P,fixée,-8.124149,fixé,-10.5417,1
37,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas jetée <eos>,16,jetée,jeté,14,F,P,jetée,-9.07991,jeté,-12.485293,1
38,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas laissée <eos>,16,laissée,laissé,14,F,P,laissée,-8.735893,laissé,-10.797951,1
39,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas ouverte <eos>,16,ouverte,ouvert,14,F,P,ouverte,-7.9249964,ouvert,-10.538622,1
40,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas perdue <eos>,16,perdue,perdu,14,F,P,perdue,-6.613539,perdu,-9.406597,1
41,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas réparée <eos>,16,réparée,réparé,14,F,P,réparée,-10.798515,réparé,-12.955414,1
42,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas retirée <eos>,16,retirée,retiré,14,F,P,retirée,-10.181831,retiré,-12.924189,1
43,S_NOUN_11_PASS_a,F,S,la gemme avec les poubelles près de moi que j' aime beaucoup n' est probablement pas tombée <eos>,16,tombée,tombé,14,F,P,tombée,-7.2079477,tombé,-9.429169,1
