,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-8.058626,achetés,-8.148008,1
1,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-8.623791,brisés,-10.706966,1
2,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-6.3894796,cachés,-8.065876,1
3,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-9.502422,cassés,-10.409313,1
4,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-8.225466,couverts,-8.931122,1
5,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-8.024998,déformés,-10.773108,1
6,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-6.9802456,fixés,-8.634926,1
7,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-7.490033,jetés,-9.5515175,1
8,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-7.0670323,laissés,-8.9669895,1
9,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,ouvertes,-7.3448853,ouverts,-10.029976,1
10,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont perdues <eos>,9,perdues,perdus,7,M,perdues,-8.042465,perdus,-9.403023,1
11,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont réparées <eos>,9,réparées,réparés,7,M,réparées,-9.89341,réparés,-12.187557,1
12,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont retirées <eos>,9,retirées,retirés,7,M,retirées,-7.3718233,retirés,-7.729645,1
13,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont tombées <eos>,9,tombées,tombés,7,M,tombées,-7.6797757,tombés,-9.261137,1
14,P_NOUN_4_PASS_d,F,P,les gemmes avec les bracelets près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,utilisées,-4.5899525,utilisés,-5.9442253,1
15,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-9.120886,achetés,-9.767207,1
16,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-9.243935,brisés,-10.526211,1
17,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-6.977755,cachés,-7.774593,1
18,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-10.164841,cassés,-10.602701,1
19,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-8.353422,couverts,-8.944237,1
20,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-8.09397,déformés,-10.293428,1
21,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-7.0082526,fixés,-8.099621,1
22,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-8.249736,jetés,-9.867893,1
23,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-7.7869043,laissés,-9.3554945,1
24,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,ouvertes,-8.000315,ouverts,-9.341324,1
25,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont perdues <eos>,9,perdues,perdus,7,M,perdues,-8.7492485,perdus,-9.493282,1
26,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont réparées <eos>,9,réparées,réparés,7,M,réparées,-9.821159,réparés,-11.972252,1
27,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont retirées <eos>,9,retirées,retirés,7,M,retirées,-7.823866,retirés,-8.277307,1
28,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont tombées <eos>,9,tombées,tombés,7,M,tombées,-8.095715,tombés,-8.610695,1
29,P_NOUN_4_PASS_d,F,P,les gemmes avec les miroirs près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,utilisées,-4.5397015,utilisés,-5.2941236,1
30,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-7.952824,achetés,-8.938372,1
31,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-9.966647,brisés,-11.5413685,1
32,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-8.009924,cachés,-8.447458,1
33,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-10.248229,cassés,-10.9888,1
34,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-8.901723,couverts,-9.883457,1
35,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont déformées <eos>,9,déformées,déformés,7,M,déformées,-8.205191,déformés,-11.317434,1
36,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont fixées <eos>,9,fixées,fixés,7,M,fixées,-7.0143385,fixés,-8.896345,1
37,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont jetées <eos>,9,jetées,jetés,7,M,jetées,-9.032602,jetés,-10.55509,1
38,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont laissées <eos>,9,laissées,laissés,7,M,laissées,-7.6806755,laissés,-9.93474,1
39,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont ouvertes <eos>,9,ouvertes,ouverts,7,M,ouvertes,-8.592684,ouverts,-9.803642,1
40,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont perdues <eos>,9,perdues,perdus,7,M,perdues,-7.9453187,perdus,-9.917904,1
41,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont réparées <eos>,9,réparées,réparés,7,M,réparées,-9.741955,réparés,-12.048645,1
42,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont retirées <eos>,9,retirées,retirés,7,M,retirées,-7.8807073,retirés,-8.18396,1
43,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont tombées <eos>,9,tombées,tombés,7,M,tombées,-7.8428097,tombés,-9.218193,1
44,P_NOUN_4_PASS_d,F,P,les gemmes avec les crayons près de moi sont utilisées <eos>,9,utilisées,utilisés,7,M,utilisées,-4.184269,utilisés,-5.4241676,1
45,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont achetées <eos>,9,achetées,achetés,7,M,achetées,-8.535683,achetés,-9.849228,1
46,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont brisées <eos>,9,brisées,brisés,7,M,brisées,-8.4785795,brisés,-10.097883,1
47,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont cachées <eos>,9,cachées,cachés,7,M,cachées,-6.5578785,cachés,-8.162024,1
48,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont cassées <eos>,9,cassées,cassés,7,M,cassées,-9.51932,cassés,-10.269591,1
49,P_NOUN_4_PASS_d,F,P,les gemmes avec les rideaux près de moi sont couvertes <eos>,9,couvertes,couverts,7,M,couvertes,-7.89645,couverts,-8.31599,1
