,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont achetées . <eos>,6,achetées,achetés,4,achetées,-7.554123,achetés,-9.180295,1
1,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont brisées . <eos>,6,brisées,brisés,4,brisées,-9.986084,brisés,-13.208363,1
2,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont cachées . <eos>,6,cachées,cachés,4,cachées,-5.8290663,cachés,-7.890382,1
3,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont cassées . <eos>,6,cassées,cassés,4,cassées,-10.126234,cassés,-11.359192,1
4,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont couvertes . <eos>,6,couvertes,couverts,4,couvertes,-7.8891745,couverts,-9.370607,1
5,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont déformées . <eos>,6,déformées,déformés,4,déformées,-8.231741,déformés,-12.015963,1
6,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont fixées . <eos>,6,fixées,fixés,4,fixées,-7.8707027,fixés,-9.381865,1
7,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont jetées . <eos>,6,jetées,jetés,4,jetées,-7.612996,jetés,-10.859557,1
8,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont laissées . <eos>,6,laissées,laissés,4,laissées,-7.9385386,laissés,-10.486875,1
9,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont ouvertes . <eos>,6,ouvertes,ouverts,4,ouvertes,-6.383072,ouverts,-8.778444,1
10,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont perdues . <eos>,6,perdues,perdus,4,perdues,-7.426444,perdus,-9.824747,1
11,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont réparées . <eos>,6,réparées,réparés,4,réparées,-11.757422,réparés,-15.041883,1
12,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont retirées . <eos>,6,retirées,retirés,4,retirées,-8.880501,retirés,-9.82182,1
13,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont tombées . <eos>,6,tombées,tombés,4,tombées,-8.239513,tombés,-9.9499235,1
14,P_NOUN_4_PASS_d,F,P,les gemmes près de moi sont utilisées . <eos>,6,utilisées,utilisés,4,utilisées,-3.5136795,utilisés,-5.9955587,1
15,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont achetées . <eos>,6,achetées,achetés,4,achetées,-8.249017,achetés,-10.170953,1
16,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont brisées . <eos>,6,brisées,brisés,4,brisées,-8.243763,brisés,-11.3286085,1
17,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont cachées . <eos>,6,cachées,cachés,4,cachées,-6.07335,cachés,-9.6863785,1
18,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont cassées . <eos>,6,cassées,cassés,4,cassées,-9.27846,cassés,-10.950821,1
19,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont couvertes . <eos>,6,couvertes,couverts,4,couvertes,-6.816119,couverts,-7.7069845,1
20,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont déformées . <eos>,6,déformées,déformés,4,déformées,-9.367997,déformés,-12.139135,1
21,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont fixées . <eos>,6,fixées,fixés,4,fixées,-7.0956163,fixés,-9.324898,1
22,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont jetées . <eos>,6,jetées,jetés,4,jetées,-7.9923162,jetés,-9.885621,1
23,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont laissées . <eos>,6,laissées,laissés,4,laissées,-8.019788,laissés,-9.923001,1
24,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont ouvertes . <eos>,6,ouvertes,ouverts,4,ouvertes,-5.5673685,ouverts,-7.6951017,1
25,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont perdues . <eos>,6,perdues,perdus,4,perdues,-7.5508404,perdus,-9.8852215,1
26,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont réparées . <eos>,6,réparées,réparés,4,réparées,-9.316104,réparés,-12.855793,1
27,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont retirées . <eos>,6,retirées,retirés,4,retirées,-7.9199524,retirés,-11.048159,1
28,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont tombées . <eos>,6,tombées,tombés,4,tombées,-8.492292,tombés,-8.999501,1
29,P_NOUN_4_PASS_d,F,P,les chaises près de moi sont utilisées . <eos>,6,utilisées,utilisés,4,utilisées,-5.5974674,utilisés,-7.9349604,1
30,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont achetées . <eos>,6,achetées,achetés,4,achetées,-6.808674,achetés,-9.027262,1
31,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont brisées . <eos>,6,brisées,brisés,4,brisées,-9.0412,brisés,-11.87505,1
32,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont cachées . <eos>,6,cachées,cachés,4,cachées,-6.5490828,cachés,-8.6925335,1
33,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont cassées . <eos>,6,cassées,cassés,4,cassées,-9.283221,cassés,-10.967289,1
34,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont couvertes . <eos>,6,couvertes,couverts,4,couvertes,-7.220305,couverts,-8.668524,1
35,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont déformées . <eos>,6,déformées,déformés,4,déformées,-9.577058,déformés,-12.896463,1
36,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont fixées . <eos>,6,fixées,fixés,4,fixées,-6.6813107,fixés,-8.393052,1
37,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont jetées . <eos>,6,jetées,jetés,4,jetées,-7.4636507,jetés,-8.340315,1
38,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont laissées . <eos>,6,laissées,laissés,4,laissées,-8.345634,laissés,-8.925682,1
39,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont ouvertes . <eos>,6,ouvertes,ouverts,4,ouvertes,-5.565942,ouverts,-7.113393,1
40,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont perdues . <eos>,6,perdues,perdus,4,perdues,-7.6291795,perdus,-10.92971,1
41,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont réparées . <eos>,6,réparées,réparés,4,réparées,-8.886012,réparés,-12.774321,1
42,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont retirées . <eos>,6,retirées,retirés,4,retirées,-7.4253583,retirés,-9.902266,1
43,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont tombées . <eos>,6,tombées,tombés,4,tombées,-8.234325,tombés,-8.686684,1
44,P_NOUN_4_PASS_d,F,P,les poubelles près de moi sont utilisées . <eos>,6,utilisées,utilisés,4,utilisées,-4.5160866,utilisés,-6.765442,1
45,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont achetées . <eos>,6,achetées,achetés,4,achetées,-7.778281,achetés,-9.870736,1
46,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont brisées . <eos>,6,brisées,brisés,4,brisées,-9.097389,brisés,-11.843135,1
47,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont cachées . <eos>,6,cachées,cachés,4,cachées,-7.5887094,cachés,-9.556692,1
48,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont cassées . <eos>,6,cassées,cassés,4,cassées,-9.392528,cassés,-11.163059,1
49,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont couvertes . <eos>,6,couvertes,couverts,4,couvertes,-7.8979445,couverts,-8.963707,1
50,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont déformées . <eos>,6,déformées,déformés,4,déformées,-9.034586,déformés,-11.463734,1
51,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont fixées . <eos>,6,fixées,fixés,4,fixées,-7.470955,fixés,-8.649778,1
52,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont jetées . <eos>,6,jetées,jetés,4,jetées,-7.567121,jetés,-8.713484,1
53,P_NOUN_4_PASS_d,F,P,les chemises près de moi sont laissées . <eos>,6,laissées,laissés,4,laissées,-8.713254,laissés,-10.129523,1
