,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très vertes . <eos>,9,vertes,verts,7,vertes,-6.4477377,verts,-11.681431,1
1,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très bleues . <eos>,9,bleues,bleus,7,bleues,-9.045707,bleus,-12.800386,1
2,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très noires . <eos>,9,noires,noirs,7,noires,-9.647722,noirs,-10.873434,1
3,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très délicates . <eos>,9,délicates,délicats,7,délicates,-8.091359,délicats,-10.732025,1
4,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très pointues . <eos>,9,pointues,pointus,7,pointues,-7.538345,pointus,-11.222109,1
5,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très rondes . <eos>,9,rondes,ronds,7,rondes,-7.583584,ronds,-11.532045,1
6,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très froides . <eos>,9,froides,froids,7,froides,-7.3387003,froids,-10.520975,1
7,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très chaudes . <eos>,9,chaudes,chauds,7,chaudes,-7.900156,chauds,-10.305945,1
8,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très importantes . <eos>,9,importantes,importants,7,importantes,-4.507555,importants,-8.901138,1
9,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très courtes . <eos>,9,courtes,courts,7,courtes,-6.1063766,courts,-8.354846,1
10,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très dures . <eos>,9,dures,durs,7,dures,-5.9858637,durs,-8.785844,1
11,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très claires . <eos>,9,claires,clairs,7,claires,-5.040182,clairs,-8.456674,1
12,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très intéressantes . <eos>,9,intéressantes,intéressants,7,intéressantes,-4.8604784,intéressants,-9.5579195,1
13,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très brillantes . <eos>,9,brillantes,brillants,7,brillantes,-3.6879547,brillants,-7.5435953,1
14,P_NOUN_7_ADJ_c,F,P,les gemmes qui étaient ici ne sont pas très compliquées . <eos>,9,compliquées,compliqués,7,compliquées,-7.3034296,compliqués,-12.461236,1
15,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très vertes . <eos>,9,vertes,verts,7,vertes,-6.34581,verts,-12.438524,1
16,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très bleues . <eos>,9,bleues,bleus,7,bleues,-9.934868,bleus,-13.2431555,1
17,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très noires . <eos>,9,noires,noirs,7,noires,-9.083453,noirs,-12.162945,1
18,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très délicates . <eos>,9,délicates,délicats,7,délicates,-7.060753,délicats,-9.28025,1
19,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très pointues . <eos>,9,pointues,pointus,7,pointues,-7.6993365,pointus,-10.6779995,1
20,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très rondes . <eos>,9,rondes,ronds,7,rondes,-6.650758,ronds,-11.074889,1
21,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très froides . <eos>,9,froides,froids,7,froides,-7.0267224,froids,-10.201101,1
22,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très chaudes . <eos>,9,chaudes,chauds,7,chaudes,-7.0350156,chauds,-9.666923,1
23,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très importantes . <eos>,9,importantes,importants,7,importantes,-5.089217,importants,-8.893513,1
24,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très courtes . <eos>,9,courtes,courts,7,courtes,-5.529877,courts,-7.344934,1
25,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très dures . <eos>,9,dures,durs,7,dures,-5.7511125,durs,-8.589951,1
26,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très claires . <eos>,9,claires,clairs,7,claires,-4.8163075,clairs,-8.084425,1
27,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très intéressantes . <eos>,9,intéressantes,intéressants,7,intéressantes,-6.254348,intéressants,-10.203935,1
28,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très brillantes . <eos>,9,brillantes,brillants,7,brillantes,-5.9808865,brillants,-9.014001,1
29,P_NOUN_7_ADJ_c,F,P,les chaises qui étaient ici ne sont pas très compliquées . <eos>,9,compliquées,compliqués,7,compliquées,-7.162113,compliqués,-11.1142235,1
30,P_NOUN_7_ADJ_c,F,P,les poubelles qui étaient ici ne sont pas très vertes . <eos>,9,vertes,verts,7,vertes,-7.3069973,verts,-14.056173,1
31,P_NOUN_7_ADJ_c,F,P,les poubelles qui étaient ici ne sont pas très bleues . <eos>,9,bleues,bleus,7,bleues,-11.350168,bleus,-15.372938,1
32,P_NOUN_7_ADJ_c,F,P,les poubelles qui étaient ici ne sont pas très noires . <eos>,9,noires,noirs,7,noires,-10.695887,noirs,-13.68124,1
33,P_NOUN_7_ADJ_c,F,P,les poubelles qui étaient ici ne sont pas très délicates . <eos>,9,délicates,délicats,7,délicates,-8.64537,délicats,-10.326514,1
34,P_NOUN_7_ADJ_c,F,P,les poubelles qui étaient ici ne sont pas très pointues . <eos>,9,pointues,pointus,7,pointues,-7.5573525,pointus,-11.92207,1
