,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient achetées <eos>,6,achetées,achetés,4,F,achetées,-6.6492567,achetés,-8.912366,1
1,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient brisées <eos>,6,brisées,brisés,4,F,brisées,-8.103923,brisés,-12.379882,1
2,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient cachées <eos>,6,cachées,cachés,4,F,cachées,-5.9835463,cachés,-10.101076,1
3,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient cassées <eos>,6,cassées,cassés,4,F,cassées,-8.622114,cassés,-10.579102,1
4,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient couvertes <eos>,6,couvertes,couverts,4,F,couvertes,-6.043106,couverts,-9.975954,1
5,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient déformées <eos>,6,déformées,déformés,4,F,déformées,-7.0486155,déformés,-12.134146,1
6,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient fixées <eos>,6,fixées,fixés,4,F,fixées,-6.0177855,fixés,-9.148413,1
7,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient jetées <eos>,6,jetées,jetés,4,F,jetées,-7.650442,jetés,-9.999816,1
8,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient laissées <eos>,6,laissées,laissés,4,F,laissées,-6.421425,laissés,-9.930337,1
9,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient ouvertes <eos>,6,ouvertes,ouverts,4,F,ouvertes,-6.5073833,ouverts,-11.097172,1
10,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient perdues <eos>,6,perdues,perdus,4,F,perdues,-8.230627,perdus,-12.501648,1
11,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient réparées <eos>,6,réparées,réparés,4,F,réparées,-9.536975,réparés,-14.046551,1
12,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient retirées <eos>,6,retirées,retirés,4,F,retirées,-7.315595,retirés,-9.070053,1
13,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient tombées <eos>,6,tombées,tombés,4,F,tombées,-8.994972,tombés,-11.517113,1
14,P_NOUN_1_PASS_b,F,P,les gemmes avec les chaises étaient utilisées <eos>,6,utilisées,utilisés,4,F,utilisées,-3.1443324,utilisés,-6.313994,1
15,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient achetées <eos>,6,achetées,achetés,4,F,achetées,-6.032505,achetés,-8.530595,1
16,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient brisées <eos>,6,brisées,brisés,4,F,brisées,-7.942385,brisés,-11.943945,1
17,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient cachées <eos>,6,cachées,cachés,4,F,cachées,-6.4995465,cachés,-9.306679,1
18,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient cassées <eos>,6,cassées,cassés,4,F,cassées,-8.692349,cassés,-10.276006,1
19,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient couvertes <eos>,6,couvertes,couverts,4,F,couvertes,-7.0112667,couverts,-9.857261,1
20,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient déformées <eos>,6,déformées,déformés,4,F,déformées,-7.630193,déformés,-11.976095,1
21,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient fixées <eos>,6,fixées,fixés,4,F,fixées,-5.2931957,fixés,-8.297967,1
22,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient jetées <eos>,6,jetées,jetés,4,F,jetées,-7.022194,jetés,-9.142765,1
23,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient laissées <eos>,6,laissées,laissés,4,F,laissées,-6.4696054,laissés,-9.4134655,1
24,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient ouvertes <eos>,6,ouvertes,ouverts,4,F,ouvertes,-6.4455557,ouverts,-10.584681,1
25,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient perdues <eos>,6,perdues,perdus,4,F,perdues,-6.6364164,perdus,-10.857287,1
26,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient réparées <eos>,6,réparées,réparés,4,F,réparées,-8.890035,réparés,-13.275827,1
27,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient retirées <eos>,6,retirées,retirés,4,F,retirées,-6.86588,retirés,-8.720161,1
28,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient tombées <eos>,6,tombées,tombés,4,F,tombées,-8.129429,tombés,-10.847706,1
29,P_NOUN_1_PASS_b,F,P,les gemmes avec les poubelles étaient utilisées <eos>,6,utilisées,utilisés,4,F,utilisées,-2.9998627,utilisés,-6.421748,1
30,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient achetées <eos>,6,achetées,achetés,4,F,achetées,-6.2748938,achetés,-8.972398,1
31,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient brisées <eos>,6,brisées,brisés,4,F,brisées,-8.01692,brisés,-12.811584,1
32,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient cachées <eos>,6,cachées,cachés,4,F,cachées,-7.6540995,cachés,-11.00647,1
33,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient cassées <eos>,6,cassées,cassés,4,F,cassées,-8.845895,cassés,-11.17925,1
34,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient couvertes <eos>,6,couvertes,couverts,4,F,couvertes,-6.1821833,couverts,-10.5540085,1
35,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient déformées <eos>,6,déformées,déformés,4,F,déformées,-7.0026474,déformés,-12.231385,1
36,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient fixées <eos>,6,fixées,fixés,4,F,fixées,-6.0497146,fixés,-9.03838,1
37,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient jetées <eos>,6,jetées,jetés,4,F,jetées,-8.086581,jetés,-10.446448,1
38,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient laissées <eos>,6,laissées,laissés,4,F,laissées,-6.885354,laissés,-10.104723,1
39,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient ouvertes <eos>,6,ouvertes,ouverts,4,F,ouvertes,-6.6608906,ouverts,-10.940006,1
40,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient perdues <eos>,6,perdues,perdus,4,F,perdues,-7.9012833,perdus,-11.762911,1
41,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient réparées <eos>,6,réparées,réparés,4,F,réparées,-9.995815,réparés,-14.4824095,1
42,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient retirées <eos>,6,retirées,retirés,4,F,retirées,-7.6364117,retirés,-9.205206,1
43,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient tombées <eos>,6,tombées,tombés,4,F,tombées,-8.70057,tombés,-11.098892,1
44,P_NOUN_1_PASS_b,F,P,les gemmes avec les chemises étaient utilisées <eos>,6,utilisées,utilisés,4,F,utilisées,-2.527281,utilisés,-6.1532116,1
45,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient achetées <eos>,6,achetées,achetés,4,F,achetées,-5.715316,achetés,-8.421123,1
46,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient brisées <eos>,6,brisées,brisés,4,F,brisées,-9.097301,brisés,-13.364472,1
47,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient cachées <eos>,6,cachées,cachés,4,F,cachées,-7.5171633,cachés,-9.6211,1
48,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient cassées <eos>,6,cassées,cassés,4,F,cassées,-9.669374,cassés,-11.15037,1
49,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient couvertes <eos>,6,couvertes,couverts,4,F,couvertes,-7.1566153,couverts,-10.008359,1
50,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient déformées <eos>,6,déformées,déformés,4,F,déformées,-7.8887897,déformés,-12.907639,1
51,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient fixées <eos>,6,fixées,fixés,4,F,fixées,-5.998782,fixés,-8.996741,1
52,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient jetées <eos>,6,jetées,jetés,4,F,jetées,-8.467916,jetés,-11.552167,1
53,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient laissées <eos>,6,laissées,laissés,4,F,laissées,-6.8649406,laissés,-11.251731,1
54,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient ouvertes <eos>,6,ouvertes,ouverts,4,F,ouvertes,-7.4766035,ouverts,-12.528618,1
55,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient perdues <eos>,6,perdues,perdus,4,F,perdues,-7.1965694,perdus,-10.919682,1
56,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient réparées <eos>,6,réparées,réparés,4,F,réparées,-11.04084,réparés,-13.943655,1
57,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient retirées <eos>,6,retirées,retirés,4,F,retirées,-8.2706175,retirés,-9.485668,1
58,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient tombées <eos>,6,tombées,tombés,4,F,tombées,-8.753796,tombés,-12.258301,1
59,P_NOUN_1_PASS_b,F,P,les gemmes avec les recettes étaient utilisées <eos>,6,utilisées,utilisés,4,F,utilisées,-3.2366824,utilisés,-6.653849,1
60,P_NOUN_1_PASS_b,F,P,les gemmes avec les jupes étaient achetées <eos>,6,achetées,achetés,4,F,achetées,-8.558708,achetés,-9.96843,1
61,P_NOUN_1_PASS_b,F,P,les gemmes avec les jupes étaient brisées <eos>,6,brisées,brisés,4,F,brisées,-7.7536345,brisés,-12.015325,1
62,P_NOUN_1_PASS_b,F,P,les gemmes avec les jupes étaient cachées <eos>,6,cachées,cachés,4,F,cachées,-6.825698,cachés,-11.368256,1
