Paradigm,Model,Percent_Corr
P_NOUN_10_PASS_a,m650_init73,0.997
P_NOUN_9_PASS_a,m650_init73,0.996416667
P_NOUN_10_PASS_b,m650_init73,0.976583333
P_NOUN_8_PASS_a,m650_init73,0.999
P_NOUN_6_PASS_b,m650_init73,0.989666667
P_NOUN_2_PASS_b,m650_init73,0.98775
P_NOUN_6_PASS_a,m650_init73,0.968416667
P_NOUN_9_PASS_b,m650_init73,0.9965
P_NOUN_1_PASS_b,m650_init73,0.983416667
P_NOUN_3_PASS_b,m650_init73,0.983333333
P_NOUN_3_PASS_a,m650_init73,0.969583333
P_NOUN_7_PASS_a,m650_init73,0.992333333
P_NOUN_11_PASS_b,m650_init73,0.999
P_NOUN_4_PASS_c,m650_init73,0.976833333
P_NOUN_4_PASS_d,m650_init73,0.999
P_NOUN_4_PASS_b,m650_init73,0.9925
P_NOUN_2_PASS_a,m650_init73,0.996416667
P_NOUN_1_PASS_a,m650_init73,0.984333333
P_NOUN_7_PASS_c,m650_init73,0.962083333
P_NOUN_8_PASS_b,m650_init73,0.9685
P_NOUN_5_PASS_a,m650_init73,0.99975
P_NOUN_11_PASS_a,m650_init73,0.970083333
P_NOUN_5_PASS_b,m650_init73,0.977166667
P_NOUN_7_PASS_b,m650_init73,0.96975
P_NOUN_6_PASS_c,m650_init73,0.969166667
P_NOUN_4_PASS_a,m650_init73,0.967666667
P_NOUN_8_PASS_c,m650_init73,0.979583333
P_NOUN_5_PASS_c,m650_init73,0.999916667
P_NOUN_10_PASS_a,m650_init73,0.997
P_NOUN_9_PASS_a,m650_init73,0.996416667
P_NOUN_10_PASS_b,m650_init73,0.976583333
P_NOUN_8_PASS_a,m650_init73,0.999
P_NOUN_6_PASS_b,m650_init73,0.989666667
P_NOUN_2_PASS_b,m650_init73,0.98775
P_NOUN_6_PASS_a,m650_init73,0.968416667
P_NOUN_9_PASS_b,m650_init73,0.9965
P_NOUN_1_PASS_b,m650_init73,0.983416667
P_NOUN_3_PASS_b,m650_init73,0.983333333
P_NOUN_3_PASS_a,m650_init73,0.969583333
P_NOUN_7_PASS_a,m650_init73,0.992333333
P_NOUN_11_PASS_b,m650_init73,0.999
P_NOUN_4_PASS_c,m650_init73,0.976833333
P_NOUN_4_PASS_d,m650_init73,0.999
P_NOUN_4_PASS_b,m650_init73,0.9925
P_NOUN_2_PASS_a,m650_init73,0.996416667
P_NOUN_1_PASS_a,m650_init73,0.984333333
P_NOUN_7_PASS_c,m650_init73,0.962083333
P_NOUN_8_PASS_b,m650_init73,0.9685
P_NOUN_5_PASS_a,m650_init73,0.99975
P_NOUN_11_PASS_a,m650_init73,0.970083333
P_NOUN_5_PASS_b,m650_init73,0.977166667
P_NOUN_7_PASS_b,m650_init73,0.96975
P_NOUN_6_PASS_c,m650_init73,0.969166667
P_NOUN_4_PASS_a,m650_init73,0.967666667
P_NOUN_8_PASS_c,m650_init73,0.979583333
P_NOUN_5_PASS_c,m650_init73,0.999916667
P_NOUN_10_PASS_a,m650_init220,0.999583333
P_NOUN_9_PASS_a,m650_init220,0.99725
P_NOUN_10_PASS_b,m650_init220,0.971416667
P_NOUN_8_PASS_a,m650_init220,0.997
P_NOUN_6_PASS_b,m650_init220,0.987833333
P_NOUN_2_PASS_b,m650_init220,0.986583333
P_NOUN_6_PASS_a,m650_init220,0.99875
P_NOUN_9_PASS_b,m650_init220,0.980833333
P_NOUN_1_PASS_b,m650_init220,0.993166667
P_NOUN_3_PASS_b,m650_init220,0.986916667
P_NOUN_3_PASS_a,m650_init220,0.974416667
P_NOUN_7_PASS_a,m650_init220,0.973166667
P_NOUN_11_PASS_b,m650_init220,0.99525
P_NOUN_4_PASS_c,m650_init220,0.993
P_NOUN_4_PASS_d,m650_init220,0.998
P_NOUN_4_PASS_b,m650_init220,0.998916667
P_NOUN_2_PASS_a,m650_init220,1
P_NOUN_1_PASS_a,m650_init220,0.995583333
P_NOUN_7_PASS_c,m650_init220,0.9665
P_NOUN_8_PASS_b,m650_init220,0.966416667
P_NOUN_5_PASS_a,m650_init220,0.991833333
P_NOUN_11_PASS_a,m650_init220,0.966833333
P_NOUN_5_PASS_b,m650_init220,0.992333333
P_NOUN_7_PASS_b,m650_init220,0.965583333
P_NOUN_6_PASS_c,m650_init220,0.986416667
P_NOUN_4_PASS_a,m650_init220,0.968083333
P_NOUN_8_PASS_c,m650_init220,0.966583333
P_NOUN_5_PASS_c,m650_init220,0.999833333
P_NOUN_10_PASS_a,m650_init704,0.984083333
P_NOUN_9_PASS_a,m650_init704,0.978916667
P_NOUN_10_PASS_b,m650_init704,0.963
P_NOUN_8_PASS_a,m650_init704,0.993583333
P_NOUN_6_PASS_b,m650_init704,0.960166667
P_NOUN_2_PASS_b,m650_init704,0.968333333
P_NOUN_6_PASS_a,m650_init704,0.98625
P_NOUN_9_PASS_b,m650_init704,0.991166667
P_NOUN_1_PASS_b,m650_init704,0.934333333
P_NOUN_3_PASS_b,m650_init704,0.972916667
P_NOUN_3_PASS_a,m650_init704,0.963
P_NOUN_7_PASS_a,m650_init704,0.982166667
P_NOUN_11_PASS_b,m650_init704,0.994916667
P_NOUN_4_PASS_c,m650_init704,0.9615
P_NOUN_4_PASS_d,m650_init704,0.99125
P_NOUN_4_PASS_b,m650_init704,0.974666667
P_NOUN_2_PASS_a,m650_init704,0.99825
P_NOUN_1_PASS_a,m650_init704,0.93875
P_NOUN_7_PASS_c,m650_init704,0.962666667
P_NOUN_8_PASS_b,m650_init704,0.965416667
P_NOUN_5_PASS_a,m650_init704,0.993083333
P_NOUN_11_PASS_a,m650_init704,0.970333333
P_NOUN_5_PASS_b,m650_init704,0.968666667
P_NOUN_7_PASS_b,m650_init704,0.9545
P_NOUN_6_PASS_c,m650_init704,0.97125
P_NOUN_4_PASS_a,m650_init704,0.966666667
P_NOUN_8_PASS_c,m650_init704,0.947333333
P_NOUN_5_PASS_c,m650_init704,0.993166667
P_NOUN_10_PASS_a,m650_init528,0.923833333
P_NOUN_9_PASS_a,m650_init528,0.949333333
P_NOUN_10_PASS_b,m650_init528,0.956833333
P_NOUN_8_PASS_a,m650_init528,0.965833333
P_NOUN_6_PASS_b,m650_init528,0.973333333
P_NOUN_2_PASS_b,m650_init528,0.983666667
P_NOUN_6_PASS_a,m650_init528,0.986083333
P_NOUN_9_PASS_b,m650_init528,0.971
P_NOUN_1_PASS_b,m650_init528,0.975
P_NOUN_3_PASS_b,m650_init528,0.97225
P_NOUN_3_PASS_a,m650_init528,0.976416667
P_NOUN_7_PASS_a,m650_init528,0.976916667
P_NOUN_11_PASS_b,m650_init528,0.95375
P_NOUN_4_PASS_c,m650_init528,0.992166667
P_NOUN_4_PASS_d,m650_init528,0.997666667
P_NOUN_4_PASS_b,m650_init528,0.939083333
P_NOUN_2_PASS_a,m650_init528,0.993083333
P_NOUN_1_PASS_a,m650_init528,0.971416667
P_NOUN_7_PASS_c,m650_init528,0.962083333
P_NOUN_8_PASS_b,m650_init528,0.929916667
P_NOUN_5_PASS_a,m650_init528,0.980166667
P_NOUN_11_PASS_a,m650_init528,0.915416667
P_NOUN_5_PASS_b,m650_init528,0.971666667
P_NOUN_7_PASS_b,m650_init528,0.96025
P_NOUN_6_PASS_c,m650_init528,0.97125
P_NOUN_4_PASS_a,m650_init528,0.963833333
P_NOUN_8_PASS_c,m650_init528,0.970666667
P_NOUN_5_PASS_c,m650_init528,0.995083333
P_NOUN_10_PASS_a,m650_init2483,0.999416667
P_NOUN_9_PASS_a,m650_init2483,0.994333333
P_NOUN_10_PASS_b,m650_init2483,0.977
P_NOUN_8_PASS_a,m650_init2483,1
P_NOUN_6_PASS_b,m650_init2483,0.983916667
P_NOUN_2_PASS_b,m650_init2483,0.997333333
P_NOUN_6_PASS_a,m650_init2483,0.995333333
P_NOUN_9_PASS_b,m650_init2483,0.999416667
P_NOUN_1_PASS_b,m650_init2483,0.984833333
P_NOUN_3_PASS_b,m650_init2483,0.996583333
P_NOUN_3_PASS_a,m650_init2483,0.966166667
P_NOUN_7_PASS_a,m650_init2483,0.988333333
P_NOUN_11_PASS_b,m650_init2483,1
P_NOUN_4_PASS_c,m650_init2483,0.975583333
P_NOUN_4_PASS_d,m650_init2483,1
P_NOUN_4_PASS_b,m650_init2483,0.998333333
P_NOUN_2_PASS_a,m650_init2483,1
P_NOUN_1_PASS_a,m650_init2483,0.992666667
P_NOUN_7_PASS_c,m650_init2483,0.96725
P_NOUN_8_PASS_b,m650_init2483,0.969833333
P_NOUN_5_PASS_a,m650_init2483,0.999416667
P_NOUN_11_PASS_a,m650_init2483,0.97825
P_NOUN_5_PASS_b,m650_init2483,0.9715
P_NOUN_7_PASS_b,m650_init2483,0.968666667
P_NOUN_6_PASS_c,m650_init2483,0.975166667
P_NOUN_4_PASS_a,m650_init2483,0.96825
P_NOUN_8_PASS_c,m650_init2483,0.96625
P_NOUN_5_PASS_c,m650_init2483,1
