,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très verte <eos>,11,verte,vert,9,F,P,verte,-6.7198763,vert,-9.644421,1
1,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très bleue <eos>,11,bleue,bleu,9,F,P,bleue,-8.099827,bleu,-9.771977,1
2,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très noire <eos>,11,noire,noir,9,F,P,noire,-6.9197416,noir,-8.84505,1
3,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très délicate <eos>,11,délicate,délicat,9,F,P,délicate,-5.9839945,délicat,-10.95266,1
4,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très pointue <eos>,11,pointue,pointu,9,F,P,pointue,-8.084259,pointu,-10.828105,1
5,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très ronde <eos>,11,ronde,rond,9,F,P,ronde,-10.418765,rond,-12.171967,1
6,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très froide <eos>,11,froide,froid,9,F,P,froide,-8.101007,froid,-12.844728,1
7,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très chaude <eos>,11,chaude,chaud,9,F,P,chaude,-6.5920153,chaud,-10.887763,1
8,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très importante <eos>,11,importante,important,9,F,P,importante,-3.0219154,important,-7.251766,1
9,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très courte <eos>,11,courte,court,9,F,P,courte,-4.8253746,court,-8.114923,1
10,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très dure <eos>,11,dure,dur,9,F,P,dure,-7.030612,dur,-8.418222,1
11,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très claire <eos>,11,claire,clair,9,F,P,claire,-5.3377047,clair,-10.1278925,1
12,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très intéressante <eos>,11,intéressante,intéressant,9,F,P,intéressante,-5.1458015,intéressant,-8.922459,1
13,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très brillante <eos>,11,brillante,brillant,9,F,P,brillante,-5.5025897,brillant,-8.615522,1
14,S_NOUN_6_ADJ_c,F,S,la gemme avec les gemmes qui était ici est aussi très compliquée <eos>,11,compliquée,compliqué,9,F,P,compliquée,-7.400074,compliqué,-9.199666,1
15,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très verte <eos>,11,verte,vert,9,F,P,verte,-7.176546,vert,-10.261056,1
16,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très bleue <eos>,11,bleue,bleu,9,F,P,bleue,-8.115467,bleu,-10.277245,1
17,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très noire <eos>,11,noire,noir,9,F,P,noire,-7.5450363,noir,-9.564882,1
18,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très délicate <eos>,11,délicate,délicat,9,F,P,délicate,-5.8737707,délicat,-10.198658,1
19,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très pointue <eos>,11,pointue,pointu,9,F,P,pointue,-7.9852195,pointu,-10.620044,1
20,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très ronde <eos>,11,ronde,rond,9,F,P,ronde,-9.50456,rond,-12.254644,1
21,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très froide <eos>,11,froide,froid,9,F,P,froide,-7.759747,froid,-12.619831,1
22,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très chaude <eos>,11,chaude,chaud,9,F,P,chaude,-5.838146,chaud,-11.032999,1
23,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très importante <eos>,11,importante,important,9,F,P,importante,-3.3659894,important,-7.7892494,1
24,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très courte <eos>,11,courte,court,9,F,P,courte,-4.9459805,court,-7.6930223,1
25,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très dure <eos>,11,dure,dur,9,F,P,dure,-6.406807,dur,-9.046529,1
26,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très claire <eos>,11,claire,clair,9,F,P,claire,-4.894477,clair,-9.942536,1
27,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très intéressante <eos>,11,intéressante,intéressant,9,F,P,intéressante,-5.611817,intéressant,-9.797956,1
28,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très brillante <eos>,11,brillante,brillant,9,F,P,brillante,-6.089788,brillant,-8.793053,1
29,S_NOUN_6_ADJ_c,F,S,la gemme avec les chaises qui était ici est aussi très compliquée <eos>,11,compliquée,compliqué,9,F,P,compliquée,-7.1823235,compliqué,-9.167146,1
30,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très verte <eos>,11,verte,vert,9,F,P,verte,-7.561016,vert,-10.938378,1
31,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très bleue <eos>,11,bleue,bleu,9,F,P,bleue,-9.223507,bleu,-11.082523,1
32,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très noire <eos>,11,noire,noir,9,F,P,noire,-8.49321,noir,-10.097984,1
33,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très délicate <eos>,11,délicate,délicat,9,F,P,délicate,-6.146759,délicat,-10.563163,1
34,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très pointue <eos>,11,pointue,pointu,9,F,P,pointue,-8.405548,pointu,-11.445297,1
35,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très ronde <eos>,11,ronde,rond,9,F,P,ronde,-10.663067,rond,-12.975722,1
36,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très froide <eos>,11,froide,froid,9,F,P,froide,-6.9454403,froid,-10.81649,1
37,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très chaude <eos>,11,chaude,chaud,9,F,P,chaude,-5.409231,chaud,-9.503786,1
38,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très importante <eos>,11,importante,important,9,F,P,importante,-3.1056218,important,-7.1965632,1
39,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très courte <eos>,11,courte,court,9,F,P,courte,-5.1669655,court,-7.5817547,1
40,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très dure <eos>,11,dure,dur,9,F,P,dure,-6.4657173,dur,-8.441731,1
41,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très claire <eos>,11,claire,clair,9,F,P,claire,-5.425349,clair,-10.915162,1
42,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très intéressante <eos>,11,intéressante,intéressant,9,F,P,intéressante,-5.392476,intéressant,-9.206635,1
43,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très brillante <eos>,11,brillante,brillant,9,F,P,brillante,-6.430369,brillant,-9.120369,1
44,S_NOUN_6_ADJ_c,F,S,la gemme avec les poubelles qui était ici est aussi très compliquée <eos>,11,compliquée,compliqué,9,F,P,compliquée,-7.112066,compliqué,-8.4117565,1
45,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très verte <eos>,11,verte,vert,9,F,P,verte,-6.706007,vert,-9.365914,1
46,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très bleue <eos>,11,bleue,bleu,9,F,P,bleue,-8.1553135,bleu,-9.740213,1
47,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très noire <eos>,11,noire,noir,9,F,P,noire,-7.0276403,noir,-8.999524,1
48,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très délicate <eos>,11,délicate,délicat,9,F,P,délicate,-5.5899067,délicat,-9.909721,1
49,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très pointue <eos>,11,pointue,pointu,9,F,P,pointue,-7.120943,pointu,-9.809445,1
50,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très ronde <eos>,11,ronde,rond,9,F,P,ronde,-10.33924,rond,-12.192199,1
51,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très froide <eos>,11,froide,froid,9,F,P,froide,-7.9848423,froid,-12.149125,1
52,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très chaude <eos>,11,chaude,chaud,9,F,P,chaude,-5.9206405,chaud,-10.36163,1
53,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très importante <eos>,11,importante,important,9,F,P,importante,-3.6877947,important,-7.897749,1
54,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très courte <eos>,11,courte,court,9,F,P,courte,-5.088628,court,-7.5072584,1
55,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très dure <eos>,11,dure,dur,9,F,P,dure,-5.696208,dur,-8.379515,1
56,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très claire <eos>,11,claire,clair,9,F,P,claire,-5.3620152,clair,-9.683706,1
57,S_NOUN_6_ADJ_c,F,S,la gemme avec les chemises qui était ici est aussi très intéressante <eos>,11,intéressante,intéressant,9,F,P,intéressante,-5.6763864,intéressant,-9.835338,1
