Paradigm,Model,Percent_Corr
P_NOUN_9_ADJ_b,m650_init220,0.984083333
P_NOUN_6_ADJ_a,m650_init220,0.997083333
P_NOUN_5_ADJ_c,m650_init220,0.9995
P_NOUN_10_ADJ_a,m650_init220,0.976333333
P_NOUN_10_ADJ_c,m650_init220,0.98175
P_NOUN_3_ADJ_a,m650_init220,0.99375
P_NOUN_4_ADJ_d,m650_init220,0.989916667
P_NOUN_1_ADJ_a,m650_init220,0.991083333
P_NOUN_6_ADJ_c,m650_init220,0.999833333
P_NOUN_10_ADJ_b,m650_init220,0.993583333
P_NOUN_1_ADJ_b,m650_init220,0.9885
P_NOUN_5_ADJ_a,m650_init220,0.974583333
P_NOUN_8_ADJ_c,m650_init220,0.975916667
P_NOUN_5_ADJ_b,m650_init220,0.99975
P_NOUN_8_ADJ_b,m650_init220,0.97925
P_NOUN_2_ADJ_c,m650_init220,0.984166667
P_NOUN_2_ADJ_a,m650_init220,0.998833333
P_NOUN_6_ADJ_b,m650_init220,0.932833333
P_NOUN_3_ADJ_b,m650_init220,0.99975
P_NOUN_4_ADJ_b,m650_init220,1
P_NOUN_2_ADJ_b,m650_init220,0.943333333
P_NOUN_8_ADJ_a,m650_init220,0.998333333
P_NOUN_7_ADJ_a,m650_init220,0.988083333
P_NOUN_4_ADJ_c,m650_init220,0.999
P_NOUN_9_ADJ_a,m650_init220,0.999916667
P_NOUN_4_ADJ_a,m650_init220,0.998083333
P_NOUN_11_ADJ_b,m650_init220,0.999666667
P_NOUN_11_ADJ_a,m650_init220,0.96525
P_NOUN_7_ADJ_c,m650_init220,0.997333333
P_NOUN_7_ADJ_b,m650_init220,0.98925
P_NOUN_9_ADJ_b,m650_init220,0.984083333
P_NOUN_6_ADJ_a,m650_init220,0.997083333
P_NOUN_5_ADJ_c,m650_init220,0.9995
P_NOUN_10_ADJ_a,m650_init220,0.976333333
P_NOUN_10_ADJ_c,m650_init220,0.98175
P_NOUN_3_ADJ_a,m650_init220,0.99375
P_NOUN_4_ADJ_d,m650_init220,0.989916667
P_NOUN_1_ADJ_a,m650_init220,0.991083333
P_NOUN_6_ADJ_c,m650_init220,0.999833333
P_NOUN_10_ADJ_b,m650_init220,0.993583333
P_NOUN_1_ADJ_b,m650_init220,0.9885
P_NOUN_5_ADJ_a,m650_init220,0.974583333
P_NOUN_8_ADJ_c,m650_init220,0.975916667
P_NOUN_5_ADJ_b,m650_init220,0.99975
P_NOUN_8_ADJ_b,m650_init220,0.97925
P_NOUN_2_ADJ_c,m650_init220,0.984166667
P_NOUN_2_ADJ_a,m650_init220,0.998833333
P_NOUN_6_ADJ_b,m650_init220,0.932833333
P_NOUN_3_ADJ_b,m650_init220,0.99975
P_NOUN_4_ADJ_b,m650_init220,1
P_NOUN_2_ADJ_b,m650_init220,0.943333333
P_NOUN_8_ADJ_a,m650_init220,0.998333333
P_NOUN_7_ADJ_a,m650_init220,0.988083333
P_NOUN_4_ADJ_c,m650_init220,0.999
P_NOUN_9_ADJ_a,m650_init220,0.999916667
