,Paradigm,Gen,Num,Sent,Eval,Corr,Wrong,Dist,Attr_Gen,Attr_Num,corr_word,corr_prob,wrong_word,wrong_prob,answer
0,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est verte <eos>,9,verte,vert,7,M,P,verte,-9.931295,vert,-9.265066,0
1,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est bleue <eos>,9,bleue,bleu,7,M,P,bleue,-7.600642,bleu,-8.162381,1
2,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est noire <eos>,9,noire,noir,7,M,P,noire,-6.1620197,noir,-7.885785,1
3,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est délicate <eos>,9,délicate,délicat,7,M,P,délicate,-9.341848,délicat,-12.124104,1
4,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est pointue <eos>,9,pointue,pointu,7,M,P,pointue,-9.614632,pointu,-12.758305,1
5,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est ronde <eos>,9,ronde,rond,7,M,P,ronde,-7.262672,rond,-10.724562,1
6,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est froide <eos>,9,froide,froid,7,M,P,froide,-11.041187,froid,-13.581873,1
7,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est chaude <eos>,9,chaude,chaud,7,M,P,chaude,-9.727283,chaud,-13.623677,1
8,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est importante <eos>,9,importante,important,7,M,P,importante,-7.288081,important,-10.530257,1
9,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est courte <eos>,9,courte,court,7,M,P,courte,-6.886306,court,-9.734404,1
10,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est dure <eos>,9,dure,dur,7,M,P,dure,-9.862952,dur,-12.393748,1
11,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est claire <eos>,9,claire,clair,7,M,P,claire,-7.7960854,clair,-9.356731,1
12,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est intéressante <eos>,9,intéressante,intéressant,7,M,P,intéressante,-8.949603,intéressant,-10.9594755,1
13,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est brillante <eos>,9,brillante,brillant,7,M,P,brillante,-8.878451,brillant,-11.490201,1
14,S_NOUN_4_ADJ_d,F,S,la gemme avec les bracelets près de moi est compliquée <eos>,9,compliquée,compliqué,7,M,P,compliquée,-10.236065,compliqué,-12.102465,1
15,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est verte <eos>,9,verte,vert,7,M,P,verte,-7.145113,vert,-8.927457,1
16,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est bleue <eos>,9,bleue,bleu,7,M,P,bleue,-7.3131742,bleu,-7.8751726,1
17,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est noire <eos>,9,noire,noir,7,M,P,noire,-6.494006,noir,-8.243886,1
18,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est délicate <eos>,9,délicate,délicat,7,M,P,délicate,-8.915789,délicat,-11.938285,1
19,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est pointue <eos>,9,pointue,pointu,7,M,P,pointue,-9.801733,pointu,-13.254526,1
20,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est ronde <eos>,9,ronde,rond,7,M,P,ronde,-7.6657968,rond,-10.87401,1
21,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est froide <eos>,9,froide,froid,7,M,P,froide,-10.936752,froid,-13.828205,1
22,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est chaude <eos>,9,chaude,chaud,7,M,P,chaude,-9.604982,chaud,-13.627069,1
23,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est importante <eos>,9,importante,important,7,M,P,importante,-7.317171,important,-10.688347,1
24,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est courte <eos>,9,courte,court,7,M,P,courte,-7.8997993,court,-10.5487175,1
25,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est dure <eos>,9,dure,dur,7,M,P,dure,-10.309046,dur,-12.859108,1
26,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est claire <eos>,9,claire,clair,7,M,P,claire,-7.94183,clair,-9.324837,1
27,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est intéressante <eos>,9,intéressante,intéressant,7,M,P,intéressante,-8.377005,intéressant,-10.4330225,1
28,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est brillante <eos>,9,brillante,brillant,7,M,P,brillante,-8.747111,brillant,-11.684007,1
29,S_NOUN_4_ADJ_d,F,S,la gemme avec les miroirs près de moi est compliquée <eos>,9,compliquée,compliqué,7,M,P,compliquée,-10.522312,compliqué,-12.436224,1
30,S_NOUN_4_ADJ_d,F,S,la gemme avec les crayons près de moi est verte <eos>,9,verte,vert,7,M,P,verte,-7.165086,vert,-7.874015,1
